Name;Acronym;State Acronym;Institution Type;Level_1;Level_2;Level_3
Faculdade Cidade Luz;FACILUZ;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Cidade Verde;FCV;PR;universidade e instâncias ligadas à universidades;;;
Faculdade Ciências da Vida;FCV;MG;universidade e instâncias ligadas à universidades;;;
Faculdade Cimo;FAC;MG;universidade e instâncias ligadas à universidades;;;
Faculdade Comunitária de Campinas;FAC;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Comunitária de Limeira;FAC Limeira;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Concórdia;FACC;SC;universidade e instâncias ligadas à universidades;;;
Faculdade COTEMIG;COTEMIG;MG;universidade e instâncias ligadas à universidades;;;
Faculdade Cristo Rei;FACCREI;PR;universidade e instâncias ligadas à universidades;;;
Faculdade Cuiabá;FAUC;MT;universidade e instâncias ligadas à universidades;;;
Faculdade da Academia Brasileira de Educação e Cultura;FABEC;RJ;universidade e instâncias ligadas à universidades;;;
Faculdade da Aldeia de Carapicuíba;FALC;SP;universidade e instâncias ligadas à universidades;;;
Faculdade da Alta Paulista;FAP;SP;universidade e instâncias ligadas à universidades;;;
Faculdade da Amazônia;FAMA;RO;universidade e instâncias ligadas à universidades;;;
Faculdade da Amazônia Ocidental - Faao;FAAO;AC;universidade e instâncias ligadas à universidades;;;
Faculdade da Cidade de Santa Luzia;FACSAL;MG;universidade e instâncias ligadas à universidades;;;
Faculdade da Escada;FAESC;PE;universidade e instâncias ligadas à universidades;;;
Faculdade da Fronteira - Faf;FAF;PR;universidade e instâncias ligadas à universidades;;;
Faculdade da Fundação Educacional Araçatuba;FAC-FEA;SP;universidade e instâncias ligadas à universidades;;;
Faculdade da Região dos Lagos;FERLAGOS;RJ;universidade e instâncias ligadas à universidades;;;
Faculdade da Região Serrana;FARESE;ES;universidade e instâncias ligadas à universidades;;;
Faculdade da Saúde e Ecologia Humana;FASEH;MG;universidade e instâncias ligadas à universidades;;;
Faculdade da Serra Gaúcha;FSG;RS;universidade e instâncias ligadas à universidades;;;
Faculdade Damas da Instrução Cristã;FADIC;PE;universidade e instâncias ligadas à universidades;;;
Faculdade das Américas;FAM;SP;universidade e instâncias ligadas à universidades;;;
Faculdade das Atividades Empresariais de Teresina;FAETE;PI;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração;FA;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração;ITPAC;TO;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração Ciências Econ e Contábeis de Guaratinguetá;FACEAG;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração da Associação Brasiliense de Educação;FABE;RS;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração da Fespsp;FADFESPSP;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração da Fundação Armando Alvares Penteado;FAE-FAAP;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração da Serra;FABAVI;ES;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Alta Floresta;FAFLOR;MT;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Assis;FAA;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Brasília;AIEC / FAAB;DF;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Campina Verde;FACAV;MG;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Campo Belo;FACAMP;MG;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Cataguases;UNIPACAT;MG;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Chapadão do Sul;FACHASUL;MS;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Diadema;FAD;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Empresas;FACAMP;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Empresas de Paraíso do Tocantins;FAP;TO;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Fátima do Sul;FAFS;MS;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Governador Valadares;FAGV;MG;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Itabirito;FAI;MG;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Jequié;FAJ;BA;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Mariana;FAMA;MG;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Nova Andradina;FANA;MS;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Nova Andradina - Fanova;FANOVA;MS;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Passos;FAP;MG;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Santa Cruz do Rio Pardo;FASC;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Santo Antônio do Monte;FASAM;MG;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração de Teresina;FAT;PI;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração e Artes de Limeira;FAAL;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração e Ciências Contábeis de São Roque;FACCSR;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração e Ciências Contábeis Luzwell;LUZWELL;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração e Informática;FAI;MG;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração e Negócios de Monte Alto;FAN;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração e Negócios de Sergipe;FANESE;SE;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração Escola Superior Professor Paulo Martins;ESPAM;DF;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração Jk;Faculdade JK;DF;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração Milton Campos;FAMC;MG;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração São Paulo;FAPI;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Administração, Ciências, Educação e Letras;FACEL;PR;universidade e instâncias ligadas à universidades;;;
Faculdade de Agronomia e Engenharia Florestal de Garça;FAEF;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Agudos;FAAG;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Alagoas;FAL;AL;universidade e instâncias ligadas à universidades;;;
Faculdade de Amambai;FIAMA;MS;universidade e instâncias ligadas à universidades;;;
Faculdade de Americana;FAM;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Apucarana;FAP;PR;universidade e instâncias ligadas à universidades;;;
Faculdade de Aracruz;FAACZ;ES;universidade e instâncias ligadas à universidades;;;
Faculdade de Arquitetura e Urbanismo de Pernambuco;FAUPE;PE;universidade e instâncias ligadas à universidades;;;
Faculdade de Arte e Design;FAD;MG;universidade e instâncias ligadas à universidades;;;
